id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736267029,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736267029,9.9
1736267231,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736267231,5.14
1736268241,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736268241,3.09
1736267731,Kasserine,74,35.1677,8.8315,1736267279,1736231613,9.32,1736267731,7.42
1736266493,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736266493,6.17
1736267886,El Kef,84,36.1632,8.7146,1736267155,1736231792,8.68,1736267886,3.67
1736264408,Sfax,42,34.7396,10.76,1736266879,1736231086,20.08,1736264408,2.57
1736265705,Gafsa,51,34.4311,8.7757,1736267401,1736231517,16.06,1736265705,4.63
1736267769,El Kef,84,36.1632,8.7146,1736267155,1736231792,8.68,1736267769,3.67
1736267363,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736267363,0.51
1736265420,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736265420,9.9
1736265627,Bizerte,88,37.2744,9.8739,1736266703,1736231688,15,1736265627,6.69
1736267852,Bizerte,68,37.2744,9.8739,1736266703,1736231688,14.81,1736267852,10.78
1736267441,Bizerte,67,37.3426,9.8502,1736266698,1736231705,14.86,1736267441,11.27
1736267358,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736267358,4.42
1736266940,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736266940,4.42
1736267386,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736267386,2.57
1736266504,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736266504,6.17
1736265218,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736265218,4.58
1736267130,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736267130,2.57
1736266779,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736266779,4.42
1736265007,Bizerte,88,37.2744,9.8739,1736266703,1736231688,15,1736265007,6.69
1736267947,El Kef,84,36.1632,8.7146,1736267155,1736231792,8.68,1736267947,3.67
1736265464,Sfax,42,34.7396,10.76,1736266879,1736231086,20.08,1736265464,2.57
1736266303,Bizerte,69,37.3426,9.8502,1736266698,1736231705,15.28,1736266303,11.9
1736267203,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736267203,6.26
1736265758,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736265758,1.56
1736266694,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736266694,4.63
1736266246,Jendouba,76,36.4462,8.7927,1736267093,1736231817,12.49,1736266246,5.82
1736266032,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736266032,4.4
1736264336,Carthage,63,36.8473,10.3417,1736266658,1736231508,17.02,1736264336,7.72
1736265987,Kairouan,34,35.6712,10.0911,1736266900,1736231387,19.01,1736265987,3.09
1736266626,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736266626,5.14
1736268398,Fernana,84,36.7422,8.6626,1736267078,1736231895,7.04,1736268398,4.86
1736265661,Jendouba,63,36.4462,8.7927,1736267093,1736231817,14.97,1736265661,5.14
1736264963,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736264963,10.23
1736268087,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736268087,5.14
1736266257,Kairouan,54,35.6712,10.0911,1736266900,1736231387,16.02,1736266257,9.48
1736267780,Sbiba,78,35.4037,9.0079,1736267201,1736231606,7.23,1736267780,10.13
1736267858,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736267858,0.51
1736265937,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736265937,7.72
1736264397,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736264397,9.9
