,id,city_name,humidity,latitude,longtitude,temperature,wind_speed,date,sunrise,sunset
97,1736264947,Sbikha,67,35.9444,9.799,11.18,10.23,2025-01-07 10:49:07,2025-01-07 01:31:38,2025-01-07 11:22:09
98,1736267253,Bab El Jazira,77,36.8064,10.1817,14.99,6.17,2025-01-07 11:27:33,2025-01-07 01:32:20,2025-01-07 11:18:23
99,1736268270,Sousse,59,35.8214,10.6344,17.79,3.6,2025-01-07 11:44:30,2025-01-07 01:27:59,2025-01-07 11:19:07
100,1736268246,Gafsa,55,34.4311,8.7757,15.06,4.63,2025-01-07 11:44:06,2025-01-07 01:31:57,2025-01-07 11:30:01
101,1736267536,Aryanah,77,36.8625,10.1956,14.97,6.17,2025-01-07 11:32:16,2025-01-07 01:32:26,2025-01-07 11:18:11
102,1736267147,Gouvernorat de Kébili,43,33.5031,8.7757,16.46,4.58,2025-01-07 11:25:47,2025-01-07 01:29:42,2025-01-07 11:32:16
103,1736265775,Kairouan,34,35.6712,10.0911,19.01,3.09,2025-01-07 11:02:55,2025-01-07 01:29:47,2025-01-07 11:21:40
104,1736265246,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 10:54:06,2025-01-07 01:38:15,2025-01-07 11:24:38
105,1736265090,Kairouan,34,35.6712,10.0911,19.01,3.09,2025-01-07 10:51:30,2025-01-07 01:29:47,2025-01-07 11:21:40
106,1736266852,Jendouba,77,36.4462,8.7927,13.97,2.57,2025-01-07 11:20:52,2025-01-07 01:36:57,2025-01-07 11:24:53
107,1736265371,Ben Arous,67,36.7134,10.2096,15.9,7.72,2025-01-07 10:56:11,2025-01-07 01:31:59,2025-01-07 11:18:31
108,1736264969,Tunis,67,36.8064,10.1817,15.99,7.72,2025-01-07 10:49:29,2025-01-07 01:32:20,2025-01-07 11:18:23
109,1736265251,Jendouba,63,36.5123,8.7682,15.03,5.14,2025-01-07 10:54:11,2025-01-07 01:37:13,2025-01-07 11:24:48
110,1736267609,Gabès,63,33.8869,10.0982,15.99,5.14,2025-01-07 11:33:29,2025-01-07 01:25:20,2025-01-07 11:26:03
111,1736266637,Kairouan,42,35.6712,10.0911,18.01,3.09,2025-01-07 11:17:17,2025-01-07 01:29:47,2025-01-07 11:21:40
112,1736264386,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 10:39:46,2025-01-07 01:38:15,2025-01-07 11:24:38
113,1736268121,Bizerte,68,37.2744,9.8739,14.81,10.78,2025-01-07 11:42:01,2025-01-07 01:34:48,2025-01-07 11:18:23
114,1736268037,Beni Kheddache,59,33.1381,10.269,12.1,5.62,2025-01-07 11:40:37,2025-01-07 01:22:51,2025-01-07 11:27:10
115,1736267791,Jendouba,77,36.5123,8.7682,14.03,2.57,2025-01-07 11:36:31,2025-01-07 01:37:13,2025-01-07 11:24:48
116,1736265235,Mahdia,57,35.5068,11.0468,16.15,1.56,2025-01-07 10:53:55,2025-01-07 01:25:32,2025-01-07 11:18:16
118,1736268297,Gafsa,55,34.4311,8.7757,15.06,4.63,2025-01-07 11:44:57,2025-01-07 01:31:57,2025-01-07 11:30:01
119,1736264936,Aryanah,67,36.8625,10.1956,15.97,7.72,2025-01-07 10:48:56,2025-01-07 01:32:26,2025-01-07 11:18:11
120,1736266532,Gouvernorat de Gabès,45,33.8815,9.5608,16.4,4.42,2025-01-07 11:15:32,2025-01-07 01:27:28,2025-01-07 11:28:13
121,1736265172,Sousse,59,35.8214,10.6344,17.79,4.63,2025-01-07 10:52:52,2025-01-07 01:27:59,2025-01-07 11:19:07
122,1736265128,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 10:52:08,2025-01-07 01:38:15,2025-01-07 11:24:38
123,1736265521,Sbiba,71,35.4037,9.0079,8.82,9.9,2025-01-07 10:58:41,2025-01-07 01:33:26,2025-01-07 11:26:41
124,1736267497,Bizerte,67,37.3426,9.8502,14.86,11.27,2025-01-07 11:31:37,2025-01-07 01:35:05,2025-01-07 11:18:18
125,1736267664,Aryanah,77,36.8625,10.1956,14.97,6.17,2025-01-07 11:34:24,2025-01-07 01:32:26,2025-01-07 11:18:11
126,1736266071,Gouvernorat de Gabès,45,33.8815,9.5608,16.4,4.42,2025-01-07 11:07:51,2025-01-07 01:27:28,2025-01-07 11:28:13
127,1736268286,Sfax,45,34.7396,10.76,20.08,0.51,2025-01-07 11:44:46,2025-01-07 01:24:46,2025-01-07 11:21:19
128,1736264357,Gouvernorat de Kébili,43,33.5031,8.7757,16.46,4.58,2025-01-07 10:39:17,2025-01-07 01:29:42,2025-01-07 11:32:16
129,1736266140,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 11:09:00,2025-01-07 01:38:15,2025-01-07 11:24:38
130,1736266632,Kasserine,62,35.1677,8.8315,11.21,8.34,2025-01-07 11:17:12,2025-01-07 01:33:33,2025-01-07 11:27:59
131,1736265426,Mahdia,57,35.5068,11.0468,16.15,1.56,2025-01-07 10:57:06,2025-01-07 01:25:32,2025-01-07 11:18:16
132,1736266957,Sbikha,67,35.9444,9.799,11.18,10.23,2025-01-07 11:22:37,2025-01-07 01:31:38,2025-01-07 11:22:09
133,1736266403,Jendouba,77,36.4462,8.7927,13.97,2.57,2025-01-07 11:13:23,2025-01-07 01:36:57,2025-01-07 11:24:53
134,1736267380,Gouvernorat de Kébili,43,33.5031,8.7757,16.46,4.58,2025-01-07 11:29:40,2025-01-07 01:29:42,2025-01-07 11:32:16
135,1736268370,Aryanah,77,36.8625,10.1956,14.97,5.14,2025-01-07 11:46:10,2025-01-07 01:32:26,2025-01-07 11:18:11
136,1736264941,Bizerte,88,37.2744,9.8739,15.0,6.69,2025-01-07 10:49:01,2025-01-07 01:34:48,2025-01-07 11:18:23
137,1736264958,Gafsa,51,34.4311,8.7757,16.06,4.63,2025-01-07 10:49:18,2025-01-07 01:31:57,2025-01-07 11:30:01
138,1736266212,Sousse,59,35.8214,10.6344,17.79,4.63,2025-01-07 11:10:12,2025-01-07 01:27:59,2025-01-07 11:19:07
139,1736265035,Gabès,59,33.8869,10.0982,16.99,5.66,2025-01-07 10:50:35,2025-01-07 01:25:20,2025-01-07 11:26:03
140,1736267925,Gouvernorat de Kébili,48,33.5031,8.7757,15.03,4.28,2025-01-07 11:38:45,2025-01-07 01:29:42,2025-01-07 11:32:16
141,1736267452,Mahdia,57,35.5068,11.0468,15.78,5.53,2025-01-07 11:30:52,2025-01-07 01:25:32,2025-01-07 11:18:16
142,1736266162,Gabès,44,33.8869,10.0982,17.23,5.33,2025-01-07 11:09:22,2025-01-07 01:25:20,2025-01-07 11:26:03
143,1736267375,Beni Kheddache,54,33.1381,10.269,13.32,6.26,2025-01-07 11:29:35,2025-01-07 01:22:51,2025-01-07 11:27:10
144,1736266353,Bizerte,68,37.2744,9.8739,15.25,11.46,2025-01-07 11:12:33,2025-01-07 01:34:48,2025-01-07 11:18:23
145,1736266066,Sbiba,71,35.4037,9.0079,8.82,9.9,2025-01-07 11:07:46,2025-01-07 01:33:26,2025-01-07 11:26:41
